"","GENEID","SYMBOL","TXID"
"1","ENSG00000173391","OLR1","ENST00000309539"
"2","ENSG00000173391","OLR1","ENST00000544577"
"3","ENSG00000173391","OLR1","ENST00000543993"
"4","ENSG00000173391","OLR1","ENST00000545927"
"5","ENSG00000173391","OLR1","ENST00000432556"
"6","ENSG00000173391","OLR1","ENST00000536989"
"7","ENSG00000173391","OLR1","ENST00000539518"
"8","ENSG00000173391","OLR1","ENST00000538745"
"9","ENSG00000173391","OLR1","ENST00000339968"
"10","ENSG00000173391","OLR1","ENST00000538873"
"11","ENSG00000173391","OLR1","ENST00000543414"
"12","ENSG00000275302","CCL4","ENST00000615863"
"13","ENSG00000275302","CCL4","ENST00000621626"
"14","ENSG00000275302","CCL4","ENST00000613947"
"15","ENSG00000275824","CCL4","ENST00000617322"
"16","ENSG00000275824","CCL4","ENST00000610612"
"17","ENSG00000275824","CCL4","ENST00000631928"
"18","ENSG00000277943","CCL4","ENST00000621600"
"19","ENSG00000277943","CCL4","ENST00000613036"
"20","ENSG00000019582","CD74","ENST00000377795"
"21","ENSG00000019582","CD74","ENST00000353334"
"22","ENSG00000019582","CD74","ENST00000518797"
"23","ENSG00000019582","CD74","ENST00000524315"
"24","ENSG00000019582","CD74","ENST00000009530"
"25","ENSG00000019582","CD74","ENST00000523208"
"26","ENSG00000019582","CD74","ENST00000517752"
"27","ENSG00000019582","CD74","ENST00000522246"
"28","ENSG00000019582","CD74","ENST00000523813"
"29","ENSG00000019582","CD74","ENST00000523836"
"30","ENSG00000019582","CD74","ENST00000517791"
"31","ENSG00000019582","CD74","ENST00000522153"
"32","ENSG00000169508","GPR183","ENST00000376414"
"33","ENSG00000274221","CCL3","ENST00000616221"
"34","ENSG00000274221","CCL3","ENST00000633297"
"35","ENSG00000274221","CCL3","ENST00000633327"
"36","ENSG00000277632","CCL3","ENST00000613922"
"37","ENSG00000277632","CCL3","ENST00000614051"
"38","ENSG00000277632","CCL3","ENST00000613928"
"39","ENSG00000278567","CCL3","ENST00000613396"
"40","ENSG00000278567","CCL3","ENST00000631877"
"41","ENSG00000278567","CCL3","ENST00000631513"
"42","ENSG00000140678","ITGAX","ENST00000564308"
"43","ENSG00000140678","ITGAX","ENST00000268296"
"44","ENSG00000140678","ITGAX","ENST00000562918"
"45","ENSG00000140678","ITGAX","ENST00000567409"
"46","ENSG00000140678","ITGAX","ENST00000562522"
"47","ENSG00000140678","ITGAX","ENST00000571644"
"48","ENSG00000140678","ITGAX","ENST00000562138"
"49","ENSG00000276085","CCL3L3","ENST00000612839"
"50","ENSG00000276085","CCL3L3","ENST00000619989"
"51","ENSG00000276085","CCL3L3","ENST00000616702"
"52","ENSG00000277336","CCL3L3","ENST00000633588"
"53","ENSG00000277336","CCL3L3","ENST00000621940"
"54","ENSG00000277336","CCL3L3","ENST00000634179"
"55","ENSG00000277768","CCL3L3","ENST00000631715"
"56","ENSG00000277768","CCL3L3","ENST00000615140"
"57","ENSG00000277768","CCL3L3","ENST00000631909"
"58","ENSG00000090104","RGS1","ENST00000367459"
"59","ENSG00000090104","RGS1","ENST00000474373"
"60","ENSG00000090104","RGS1","ENST00000462589"
"61","ENSG00000090104","RGS1","ENST00000583155"
"62","ENSG00000090104","RGS1","ENST00000469578"
"63","ENSG00000090104","RGS1","ENST00000498352"
"64","ENSG00000038945","MSR1","ENST00000262101"
"65","ENSG00000038945","MSR1","ENST00000445506"
"66","ENSG00000038945","MSR1","ENST00000355282"
"67","ENSG00000038945","MSR1","ENST00000522672"
"68","ENSG00000038945","MSR1","ENST00000381998"
"69","ENSG00000038945","MSR1","ENST00000519060"
"70","ENSG00000038945","MSR1","ENST00000518960"
"71","ENSG00000038945","MSR1","ENST00000518026"
"72","ENSG00000038945","MSR1","ENST00000521876"
"73","ENSG00000038945","MSR1","ENST00000518343"
"74","ENSG00000038945","MSR1","ENST00000517522"
"75","ENSG00000038945","MSR1","ENST00000520846"
"76","ENSG00000038945","MSR1","ENST00000522130"
"77","ENSG00000038945","MSR1","ENST00000350896"
"78","ENSG00000115956","PLEK","ENST00000234313"
"79","ENSG00000115956","PLEK","ENST00000474788"
"80","ENSG00000171860","C3AR1","ENST00000307637"
"81","ENSG00000171860","C3AR1","ENST00000546241"
"82","ENSG00000125730","C3","ENST00000245907"
"83","ENSG00000125730","C3","ENST00000601475"
"84","ENSG00000125730","C3","ENST00000599899"
"85","ENSG00000125730","C3","ENST00000602229"
"86","ENSG00000125730","C3","ENST00000599668"
"87","ENSG00000125730","C3","ENST00000601008"
"88","ENSG00000125730","C3","ENST00000596548"
"89","ENSG00000125730","C3","ENST00000596179"
"90","ENSG00000125730","C3","ENST00000596238"
"91","ENSG00000125730","C3","ENST00000598805"
"92","ENSG00000125730","C3","ENST00000594005"
"93","ENSG00000125730","C3","ENST00000602053"
"94","ENSG00000125730","C3","ENST00000600763"
"95","ENSG00000125730","C3","ENST00000594270"
"96","ENSG00000125730","C3","ENST00000597442"
"97","ENSG00000125730","C3","ENST00000595577"
"98","ENSG00000125730","C3","ENST00000594936"
"99","ENSG00000125730","C3","ENST00000600744"
"100","LRG_27","C3","LRG_27t1"
"101","ENSG00000172243","CLEC7A","ENST00000353231"
"102","ENSG00000172243","CLEC7A","ENST00000534609"
