"","GENEID","SYMBOL","TXID"
"1","ENSG00000123560","PLP1","ENST00000434483"
"2","ENSG00000123560","PLP1","ENST00000494475"
"3","ENSG00000123560","PLP1","ENST00000455268"
"4","ENSG00000123560","PLP1","ENST00000422393"
"5","ENSG00000123560","PLP1","ENST00000433491"
"6","ENSG00000123560","PLP1","ENST00000443502"
"7","ENSG00000123560","PLP1","ENST00000621218"
"8","ENSG00000123560","PLP1","ENST00000619236"
"9","ENSG00000123560","PLP1","ENST00000464776"
"10","ENSG00000123560","PLP1","ENST00000619257"
"11","ENSG00000123560","PLP1","ENST00000465975"
"12","ENSG00000123560","PLP1","ENST00000480325"
"13","ENSG00000123560","PLP1","ENST00000485931"
"14","ENSG00000123560","PLP1","ENST00000495678"
"15","ENSG00000123560","PLP1","ENST00000479569"
"16","ENSG00000123560","PLP1","ENST00000485688"
"17","ENSG00000123560","PLP1","ENST00000478642"
"18","ENSG00000123560","PLP1","ENST00000476160"
"19","ENSG00000123560","PLP1","ENST00000461231"
"20","ENSG00000123560","PLP1","ENST00000466486"
"21","ENSG00000123560","PLP1","ENST00000494119"
"22","ENSG00000123560","PLP1","ENST00000496836"
"23","ENSG00000123560","PLP1","ENST00000612423"
"24","ENSG00000091513","TF","ENST00000402696"
"25","ENSG00000091513","TF","ENST00000466911"
"26","ENSG00000091513","TF","ENST00000474287"
"27","ENSG00000091513","TF","ENST00000460531"
"28","ENSG00000091513","TF","ENST00000414694"
"29","ENSG00000091513","TF","ENST00000494430"
"30","ENSG00000091513","TF","ENST00000493011"
"31","ENSG00000091513","TF","ENST00000482271"
"32","ENSG00000091513","TF","ENST00000485977"
"33","ENSG00000091513","TF","ENST00000475382"
"34","ENSG00000091513","TF","ENST00000498622"
"35","ENSG00000091513","TF","ENST00000461695"
"36","ENSG00000091513","TF","ENST00000462495"
"37","ENSG00000091513","TF","ENST00000467842"
"38","ENSG00000174607","UGT8","ENST00000310836"
"39","ENSG00000174607","UGT8","ENST00000507710"
"40","ENSG00000174607","UGT8","ENST00000394511"
"41","ENSG00000136541","ERMN","ENST00000410096"
"42","ENSG00000136541","ERMN","ENST00000397283"
"43","ENSG00000136541","ERMN","ENST00000409395"
"44","ENSG00000136541","ERMN","ENST00000420719"
"45","ENSG00000136541","ERMN","ENST00000420317"
"46","ENSG00000136541","ERMN","ENST00000411762"
"47","ENSG00000136541","ERMN","ENST00000409216"
"48","ENSG00000136541","ERMN","ENST00000409925"
"49","ENSG00000136541","ERMN","ENST00000419116"
"50","ENSG00000168314","MOBP","ENST00000451925"
"51","ENSG00000168314","MOBP","ENST00000428261"
"52","ENSG00000168314","MOBP","ENST00000420739"
"53","ENSG00000168314","MOBP","ENST00000415443"
"54","ENSG00000168314","MOBP","ENST00000447324"
"55","ENSG00000168314","MOBP","ENST00000383754"
"56","ENSG00000168314","MOBP","ENST00000436143"
"57","ENSG00000168314","MOBP","ENST00000441980"
"58","ENSG00000168314","MOBP","ENST00000311042"
"59","ENSG00000168314","MOBP","ENST00000452959"
"60","ENSG00000168314","MOBP","ENST00000424090"
"61","ENSG00000168314","MOBP","ENST00000442631"
"62","ENSG00000168314","MOBP","ENST00000479860"
"63","ENSG00000013297","CLDN11","ENST00000064724"
"64","ENSG00000013297","CLDN11","ENST00000486975"
"65","ENSG00000013297","CLDN11","ENST00000486429"
"66","ENSG00000013297","CLDN11","ENST00000489485"
"67","ENSG00000013297","CLDN11","ENST00000468358"
"68","ENSG00000013297","CLDN11","ENST00000471373"
"69","ENSG00000013297","CLDN11","ENST00000477531"
"70","ENSG00000013297","CLDN11","ENST00000488989"
"71","ENSG00000013297","CLDN11","ENST00000480067"
"72","ENSG00000150656","CNDP1","ENST00000358821"
"73","ENSG00000150656","CNDP1","ENST00000585136"
"74","ENSG00000150656","CNDP1","ENST00000582365"
"75","ENSG00000150656","CNDP1","ENST00000584316"
"76","ENSG00000150656","CNDP1","ENST00000584004"
"77","ENSG00000150656","CNDP1","ENST00000578498"
"78","ENSG00000150656","CNDP1","ENST00000582461"
"79","ENSG00000197430","OPALIN","ENST00000371172"
"80","ENSG00000197430","OPALIN","ENST00000611913"
"81","ENSG00000197430","OPALIN","ENST00000393871"
"82","ENSG00000197430","OPALIN","ENST00000536387"
"83","ENSG00000197430","OPALIN","ENST00000419479"
"84","ENSG00000197430","OPALIN","ENST00000393870"
"85","ENSG00000086205","FOLH1","ENST00000458311"
"86","ENSG00000086205","FOLH1","ENST00000256999"
"87","ENSG00000086205","FOLH1","ENST00000356696"
"88","ENSG00000086205","FOLH1","ENST00000525826"
"89","ENSG00000086205","FOLH1","ENST00000340334"
"90","ENSG00000086205","FOLH1","ENST00000533034"
"91","ENSG00000086205","FOLH1","ENST00000532018"
"92","ENSG00000086205","FOLH1","ENST00000525629"
"93","ENSG00000086205","FOLH1","ENST00000526226"
"94","ENSG00000086205","FOLH1","ENST00000529646"
"95","ENSG00000086205","FOLH1","ENST00000533510"
"96","ENSG00000086205","FOLH1","ENST00000529117"
"97","ENSG00000086205","FOLH1","ENST00000529648"
"98","ENSG00000086205","FOLH1","ENST00000343844"
"99","ENSG00000136960","ENPP2","ENST00000259486"
"100","ENSG00000136960","ENPP2","ENST00000427067"
"101","ENSG00000136960","ENPP2","ENST00000523861"
"102","ENSG00000136960","ENPP2","ENST00000522167"
"103","ENSG00000136960","ENPP2","ENST00000522826"
"104","ENSG00000136960","ENPP2","ENST00000075322"
"105","ENSG00000136960","ENPP2","ENST00000518109"
"106","ENSG00000136960","ENPP2","ENST00000520066"
"107","ENSG00000136960","ENPP2","ENST00000518958"
"108","ENSG00000184144","CNTN2","ENST00000636809"
"109","ENSG00000184144","CNTN2","ENST00000331830"
"110","ENSG00000184144","CNTN2","ENST00000532366"
"111","ENSG00000184144","CNTN2","ENST00000530117"
"112","ENSG00000184144","CNTN2","ENST00000481872"
"113","ENSG00000184144","CNTN2","ENST00000527340"
"114","ENSG00000184144","CNTN2","ENST00000530594"
"115","ENSG00000184144","CNTN2","ENST00000636641"
"116","ENSG00000184144","CNTN2","ENST00000638050"
"117","ENSG00000184144","CNTN2","ENST00000525433"
"118","ENSG00000184144","CNTN2","ENST00000636312"
"119","ENSG00000071991","CDH19","ENST00000262150"
"120","ENSG00000071991","CDH19","ENST00000579658"
"121","ENSG00000071991","CDH19","ENST00000540086"
"122","ENSG00000071991","CDH19","ENST00000454642"
